Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
PTSX,Point.360,0.45,4741607.7,n/a,n/a,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/ptsx
PTX,"Pernix Therapeutics Holdings, Inc.",9.59,364840895.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ptx
PULB,Pulaski Financial Corp.,11.43,138094596.8,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/pulb
PVTB,"PrivateBancorp, Inc.",28.325,2211428205,n/a,1999,Finance,Major Banks,http://www.nasdaq.com/symbol/pvtb
PVTBP,"PrivateBancorp, Inc.",26,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/pvtbp
PWOD,"Penns Woods Bancorp, Inc.",44.18,212989615.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/pwod
PWRD,"Perfect World Co., Ltd.",20.85,1034248592,n/a,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/pwrd
PWX,Providence and Worcester Railroad Company,17.37,84350943.36,n/a,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/pwx
PXLW,"Pixelworks, Inc.",5.62,128721952.4,n/a,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/pxlw
PZZA,"Papa John&#39;S International, Inc.",42.63,1744694521,n/a,1993,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/pzza
PZZI,"Pizza Inn Holdings, Inc.",6.94,64664643.68,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/pzzi
QABA,First Trust NASDAQ ABA Community Bank Index Fund,33.39,86814066.78,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/qaba
QADA,QAD Inc.,18.97,243973283.8,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/qada
QADB,QAD Inc.,16.5,52607857.5,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/qadb
QAT,iShares MSCI Qatar Capped ETF,24.78,33453000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/qat
QBAK,Qualstar Corporation,1.24,15193865.08,n/a,2000,Technology,Electronic Components,http://www.nasdaq.com/symbol/qbak
QCCO,"QC Holdings, Inc.",1.69,29594081.79,n/a,2004,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/qcco
